chapter,slug,content_status,evidence_level,verified_scope,pending,release_status,release_blocker
"11","11-network-connection-pool-timeout-capacity","八件套初稿","L2","官方资料、矩阵和实验断言设计","连接复用、Hikari 饱和、分阶段 timeout、UNKNOWN、retry budget、SSE 与泄漏实验","Draft","无网络、连接池、资源和副作用运行证据"
"12","12-docker-kubernetes-deployment-foundations","八件套初稿","L2","官方资料与实验设计","镜像、Compose、探针、Service/DNS、资源、滚动发布、回滚与节点故障","Draft","Docker daemon 和集群未运行，无部署恢复证据"
"13","13-system-design-project-defense","八件套初稿","L2","设计方法、评审矩阵与演练合同","NotifyFlow 端到端演示、容量实测、十组评审、5/15/45 分钟答辩与陌生评审","Draft","纸面设计未被端到端运行或外部评审验证"
"14","14-llm-principles-inference-rag-foundations","八件套初稿","L2","原理讲义与官方资料核验","tokenizer、attention、推理参数、量化、Embedding、ANN、基础 RAG、Tool 安全与 Java Gateway","Draft","未固定模型与环境，无推理、检索、评测和成本证据"
"15","15-document-processing-chunking-ingestion","八件套初稿","L2","官方资料、实验合同与安全边界","固定语料、解析/OCR、chunk manifest、metadata/ACL、版本删除、幂等与失败恢复","Draft","无固定语料、实现、质量指标和故障恢复证据"
"16","16-hybrid-retrieval-rerank-vector-database","八件套初稿","L2","官方资料、实验合同与指标定义","评测集、BM25/vector/hybrid、RRF、rerank、向量库、ACL、生命周期与容量","Draft","无索引运行、可复算质量结果、权限负向与容量证据"
"17","17-rag-evaluation-citation-security","八件套初稿","L2","评测合同、红队矩阵与发布门禁","评测 Runner、gold set、引用复取、拒答、ACL canary、prompt injection、敏感数据与回归","Draft","无 Runner、评测集、人工 gold、红队和回归运行"
"18","18-tool-memory-agent-runtime","八件套初稿","L2","官方资料、状态机与攻击矩阵设计","Java Agent Runtime、Tool RBAC/幂等、UNKNOWN、审批、SSE、Memory 与攻击评测","Draft","无运行态、权限负向、副作用恢复和评测证据"
"19","19-multi-instance-distributed-notifyflow","八件套初稿","L2","分布式故障模型与断言设计","多 JVM/节点、lease/fencing、Kafka rebalance、分片、全局配额、网络分区与 K8s 下线","Draft","无多实例、多节点、故障注入和全局正确性证据"
"20","20-resume-fact-ledger-evidence-expression","八件套初稿","L2","事实边界与审计方法设计","大烨逐句事实访谈、fact ledger、数字来源、三类简历、PDF/文本一致性与用户确认","Draft","缺用户逐句确认、量化运行证据、隐私处理与面试验证"
"21","21-java-project-system-design-interview","八件套初稿","L2","题库、追问树、评分表与复测规则设计","闭卷作答、项目证据追问、系统设计、三轮模拟面试、录音和跨轮复盘","Draft","无真实作答、录音、评分与复测证据"
"22","22-algorithm-teach-back-validation","八件套初稿","L2","96 题训练配额、证据合同与里程碑设计","首次独立作答、边界测试、间隔复习、Teach-back 与三次陌生读者测试","Draft","算法训练、Teach-back 和陌生学习者验证尚未发生"
"23","23-job-strategy-portfolio-release","八件套初稿","L2","岗位采样、投递实验和发布门禁设计","实时 JD、投递反馈、作品干净环境复现、版权/隐私/Secret、勘误与 RC 审计","Draft","无实时市场样本、投递反馈、陌生复现、版权清理和 RC 证据"
